Payment_Date,Month,Year,Quarter,Period,Organisation_Name,Sector,Total_Amount_N,Current_Payment_N,Arrears_Balance_N,Has_Arrears,Arrears_Only,Compliance_Status,Payment_Day,Payment_Week,End_of_Month_Flag,Implied_Payroll_N
9/1/2024,January,2024,Q1,Q1-2024,Franrossy Services Nigeria Limited,GENERAL CONTRACT,200000.0,100000.0,100000.0,1,0,PARTIAL_ARREARS,9,2,MID_MONTH,10000000.0
9/1/2024,January,2024,Q1,Q1-2024,Buckingham Global Services Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,9,2,MID_MONTH,10000000.0
9/1/2024,January,2024,Q1,Q1-2024,Danelec Limited,GENERAL CONTRACT,1203028.87,1203028.87,0.0,0,0,FULLY_CURRENT,9,2,MID_MONTH,120302887.0
9/1/2024,January,2024,Q1,Q1-2024,Quotro Integrated Services Ltd,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,9,2,MID_MONTH,10000000.0
9/1/2024,January,2024,Q1,Q1-2024,All Trust Global Integrated Services Ltd,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,9,2,MID_MONTH,10000000.0
10/1/2024,January,2024,Q1,Q1-2024,BP Omega Oil & Gas Nigeria Ltd,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,10,2,MID_MONTH,10000000.0
10/1/2024,January,2024,Q1,Q1-2024,Amchez Services Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,10,2,MID_MONTH,10000000.0
11/1/2024,January,2024,Q1,Q1-2024,Tulip Tools and Services Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",400000.0,200000.0,200000.0,1,0,PARTIAL_ARREARS,11,2,MID_MONTH,20000000.0
11/1/2024,January,2024,Q1,Q1-2024,Aegis One Consult Limited,"CONSULTANCY, EDUCATION AND TRAINING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,11,2,MID_MONTH,10000000.0
11/1/2024,January,2024,Q1,Q1-2024,Riversafe Solutions Nigeria Limited,GENERAL CONTRACT,200000.0,100000.0,100000.0,1,0,PARTIAL_ARREARS,11,2,MID_MONTH,10000000.0
11/1/2024,January,2024,Q1,Q1-2024,Sakibs Nigeria Limited,GENERAL CONTRACT,300000.0,100000.0,200000.0,1,0,PARTIAL_ARREARS,11,2,MID_MONTH,10000000.0
11/1/2024,January,2024,Q1,Q1-2024,Quadcan Well Energy Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,11,2,MID_MONTH,10000000.0
11/1/2024,January,2024,Q1,Q1-2024,Victory and Valery Energy Resources Nigeria Limited,MARITIME AND SHIPPING,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,11,2,MID_MONTH,10000000.0
11/1/2024,January,2024,Q1,Q1-2024,Fugson Energy Nigeria Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,11,2,MID_MONTH,10000000.0
11/1/2024,January,2024,Q1,Q1-2024,Hoechy Development Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,11,2,MID_MONTH,10000000.0
12/1/2024,January,2024,Q1,Q1-2024,Pyramid Associates Limited,MARITIME AND SHIPPING,239825.39,239825.39,0.0,0,0,FULLY_CURRENT,12,2,MID_MONTH,23982539.0
12/1/2024,January,2024,Q1,Q1-2024,Nasta Energy Oil & Gas Nigeria Limited,GENERAL CONTRACT,200000.0,100000.0,100000.0,1,0,PARTIAL_ARREARS,12,2,MID_MONTH,10000000.0
12/1/2024,January,2024,Q1,Q1-2024,Felz Marine Nigeria Limited,OIL AND GAS,325020.0,325020.0,0.0,0,0,FULLY_CURRENT,12,2,MID_MONTH,32502000.0
15/1/2024,January,2024,Q1,Q1-2024,Joules Energy Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,15,3,MID_MONTH,10000000.0
15/1/2024,January,2024,Q1,Q1-2024,Cagl Global Company Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,15,3,MID_MONTH,10000000.0
15/1/2024,January,2024,Q1,Q1-2024,JS Integrated Logistic Service Ltd,TRANSPORT AND TRAVELS,201560.08,100780.04,100780.04,1,0,PARTIAL_ARREARS,15,3,MID_MONTH,10078004.0
15/1/2024,January,2024,Q1,Q1-2024,Goldsachs Engineering Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,15,3,MID_MONTH,10000000.0
15/1/2024,January,2024,Q1,Q1-2024,Venturer Energy Contracting Co Ltd,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,15,3,MID_MONTH,10000000.0
15/1/2024,January,2024,Q1,Q1-2024,Arit Walden Nigeria Ltd,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,15,3,MID_MONTH,10000000.0
16/1/2024,January,2024,Q1,Q1-2024,JDI Investment Company Limited,HOTEL AND CATERING,2270350.0,2270350.0,0.0,0,0,FULLY_CURRENT,16,3,MID_MONTH,227035000.0
16/1/2024,January,2024,Q1,Q1-2024,Well Fluid Services Limited,OIL AND GAS,163815.0,163815.0,0.0,0,0,FULLY_CURRENT,16,3,MID_MONTH,16381500.0
16/1/2024,January,2024,Q1,Q1-2024,Stockworld Energy Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,16,3,MID_MONTH,10000000.0
16/1/2024,January,2024,Q1,Q1-2024,Davil Solution Services Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,16,3,MID_MONTH,10000000.0
16/1/2024,January,2024,Q1,Q1-2024,Exmatsur Oilfield Support Ltd,OIL AND GAS,500000.0,100000.0,400000.0,1,0,PARTIAL_ARREARS,16,3,MID_MONTH,10000000.0
16/1/2024,January,2024,Q1,Q1-2024,Jeftoni Nigeria Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,16,3,MID_MONTH,10000000.0
16/1/2024,January,2024,Q1,Q1-2024,Bluemond Integrated Services Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,16,3,MID_MONTH,10000000.0
16/1/2024,January,2024,Q1,Q1-2024,Southernglow Ventures Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",759406.29,200000.0,559406.29,1,0,PARTIAL_ARREARS,16,3,MID_MONTH,20000000.0
16/1/2024,January,2024,Q1,Q1-2024,Royal View Services Limited,DISTRIBUTION AND MARKETING,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,16,3,MID_MONTH,10000000.0
16/1/2024,January,2024,Q1,Q1-2024,Liquid Energy Global Services Limited,MANUFACTURING,300000.0,100000.0,200000.0,1,0,PARTIAL_ARREARS,16,3,MID_MONTH,10000000.0
16/1/2024,January,2024,Q1,Q1-2024,Kenergy Engineering Services Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",175527.07,127013.93,48513.14,1,0,PARTIAL_ARREARS,16,3,MID_MONTH,12701393.0
17/1/2024,January,2024,Q1,Q1-2024,Mimshak Swift Nigeria Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",600000.0,100000.0,500000.0,1,0,PARTIAL_ARREARS,17,3,MID_MONTH,10000000.0
17/1/2024,January,2024,Q1,Q1-2024,Net Global Systems and Technical Services Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",982619.4,982619.4,0.0,0,0,FULLY_CURRENT,17,3,MID_MONTH,98261940.0
17/1/2024,January,2024,Q1,Q1-2024,Henzol Global Services Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,17,3,MID_MONTH,10000000.0
18/1/2024,January,2024,Q1,Q1-2024,Air Sea Freighters Limited,MARITIME AND SHIPPING,387825.1,387825.1,0.0,0,0,FULLY_CURRENT,18,3,MID_MONTH,38782510.0
18/1/2024,January,2024,Q1,Q1-2024,Acrona Energy Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,18,3,MID_MONTH,10000000.0
18/1/2024,January,2024,Q1,Q1-2024,Nwokoma Nwankwo and Company,HOSPITAL AND MATERNITY,115178.21,115178.21,0.0,0,0,FULLY_CURRENT,18,3,MID_MONTH,11517821.0
18/1/2024,January,2024,Q1,Q1-2024,Madus Great Chemical Co. Ltd,HOTEL AND CATERING,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,18,3,MID_MONTH,10000000.0
18/1/2024,January,2024,Q1,Q1-2024,Pearl Integrated Services Limited,DISTRIBUTION AND MARKETING,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,18,3,MID_MONTH,10000000.0
18/1/2024,January,2024,Q1,Q1-2024,Nmunachim Resources Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,18,3,MID_MONTH,10000000.0
18/1/2024,January,2024,Q1,Q1-2024,Dakaka Nigeria Limited,GENERAL CONTRACT,122817.48,122817.48,0.0,0,0,FULLY_CURRENT,18,3,MID_MONTH,12281748.0
18/1/2024,January,2024,Q1,Q1-2024,Unbeatable Offshore and Logistic Services Limited,OIL AND GAS,80000.0,80000.0,0.0,0,0,FULLY_CURRENT,18,3,MID_MONTH,8000000.0
19/1/2024,January,2024,Q1,Q1-2024,Maventeq Systems Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,19,3,MID_MONTH,10000000.0
19/1/2024,January,2024,Q1,Q1-2024,Flamingos Energy and Innovation Limited,"CONSULTANCY, EDUCATION AND TRAINING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,19,3,MID_MONTH,10000000.0
19/1/2024,January,2024,Q1,Q1-2024,Projectcraft Global Company Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,19,3,MID_MONTH,10000000.0
19/1/2024,January,2024,Q1,Q1-2024,JFA Oil and Gas International Ltd,OIL AND GAS,110000.0,110000.0,0.0,0,0,FULLY_CURRENT,19,3,MID_MONTH,11000000.0
19/1/2024,January,2024,Q1,Q1-2024,Allied Victory Nigeria Ltd,GENERAL CONTRACT,342687.0,302976.0,39711.0,1,0,PARTIAL_ARREARS,19,3,MID_MONTH,30297600.0
19/1/2024,January,2024,Q1,Q1-2024,Katamegos Africa Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,19,3,MID_MONTH,10000000.0
19/1/2024,January,2024,Q1,Q1-2024,Somitech Global Resources Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,19,3,MID_MONTH,10000000.0
19/1/2024,January,2024,Q1,Q1-2024,Geo Dynamics Engineering Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,19,3,MID_MONTH,10000000.0
22/1/2024,January,2024,Q1,Q1-2024,Bistar Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,22,4,MID_MONTH,10000000.0
22/1/2024,January,2024,Q1,Q1-2024,Kaparthy Engineering & Constructions Ltd,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,22,4,MID_MONTH,10000000.0
22/1/2024,January,2024,Q1,Q1-2024,Jaide 10th Ltd,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,22,4,MID_MONTH,10000000.0
22/1/2024,January,2024,Q1,Q1-2024,Moodec Global Energy Services Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,22,4,MID_MONTH,10000000.0
22/1/2024,January,2024,Q1,Q1-2024,Metaspec Consult Limited,"CONSULTANCY, EDUCATION AND TRAINING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,22,4,MID_MONTH,10000000.0
22/1/2024,January,2024,Q1,Q1-2024,Sangid Nigeria Limited,GENERAL CONTRACT,200000.0,100000.0,100000.0,1,0,PARTIAL_ARREARS,22,4,MID_MONTH,10000000.0
22/1/2024,January,2024,Q1,Q1-2024,May Event Planner Limited,DISTRIBUTION AND MARKETING,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,22,4,MID_MONTH,10000000.0
22/1/2024,January,2024,Q1,Q1-2024,Clout Broad Nigeria Limited,"CONSULTANCY, EDUCATION AND TRAINING",354161.02,0.0,0.0,0,1,ARREARS_ONLY,22,4,MID_MONTH,35416102.0
22/1/2024,January,2024,Q1,Q1-2024,Strumberg Energies Ltd,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,22,4,MID_MONTH,10000000.0
22/1/2024,January,2024,Q1,Q1-2024,Proezit Geoworks and Engineering Company Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",80000.0,80000.0,0.0,0,0,FULLY_CURRENT,22,4,MID_MONTH,8000000.0
22/1/2024,January,2024,Q1,Q1-2024,Road Lamp Limited,DISTRIBUTION AND MARKETING,235055.73,235055.73,0.0,0,0,FULLY_CURRENT,22,4,MID_MONTH,23505573.0
23/1/2024,January,2024,Q1,Q1-2024,Roch Integrated Services Limited,OIL AND GAS,104482.35,104482.35,0.0,0,0,FULLY_CURRENT,23,4,MID_MONTH,10448235.0
23/1/2024,January,2024,Q1,Q1-2024,Voutch-Tek Services Ltd,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,23,4,MID_MONTH,10000000.0
23/1/2024,January,2024,Q1,Q1-2024,Juste Energy Tools Limited,OIL AND GAS,80000.0,80000.0,0.0,0,0,FULLY_CURRENT,23,4,MID_MONTH,8000000.0
23/1/2024,January,2024,Q1,Q1-2024,Amobi Services Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,23,4,MID_MONTH,10000000.0
23/1/2024,January,2024,Q1,Q1-2024,Lukatech Limited,OIL AND GAS,400000.0,100000.0,300000.0,1,0,PARTIAL_ARREARS,23,4,MID_MONTH,10000000.0
23/1/2024,January,2024,Q1,Q1-2024,Balfour Integrated Services Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,23,4,MID_MONTH,10000000.0
23/1/2024,January,2024,Q1,Q1-2024,Sumation Technical Services Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",200000.0,100000.0,100000.0,1,0,PARTIAL_ARREARS,23,4,MID_MONTH,10000000.0
23/1/2024,January,2024,Q1,Q1-2024,Milat Nigeria Limited,OIL AND GAS,1798360.57,1224243.03,574117.54,1,0,PARTIAL_ARREARS,23,4,MID_MONTH,122424303.0
23/1/2024,January,2024,Q1,Q1-2024,Oboma Int'l Services Ltd,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,23,4,MID_MONTH,10000000.0
23/1/2024,January,2024,Q1,Q1-2024,De-Coon Services Limited,DISTRIBUTION AND MARKETING,427033.82,427033.82,0.0,0,0,FULLY_CURRENT,23,4,MID_MONTH,42703382.0
24/1/2024,January,2024,Q1,Q1-2024,Brace-Hull Nigeria Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,24,4,LAST_WEEK,10000000.0
24/1/2024,January,2024,Q1,Q1-2024,Pacific Maritime Limited,MARITIME AND SHIPPING,837350.0,277350.0,560000.0,1,0,PARTIAL_ARREARS,24,4,LAST_WEEK,27735000.0
24/1/2024,January,2024,Q1,Q1-2024,SouthAfric Energy Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",150000.0,75000.0,75000.0,1,0,PARTIAL_ARREARS,24,4,LAST_WEEK,7500000.0
24/1/2024,January,2024,Q1,Q1-2024,Acme Multitech Services Limited2,GENERAL CONTRACT,240000.0,0.0,240000.0,1,1,ARREARS_ONLY,24,4,LAST_WEEK,24000000.0
24/1/2024,January,2024,Q1,Q1-2024,Lumarid Services Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,24,4,LAST_WEEK,10000000.0
24/1/2024,January,2024,Q1,Q1-2024,Flosmart Energy Services Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",285227.62,285227.62,0.0,0,0,FULLY_CURRENT,24,4,LAST_WEEK,28522762.0
24/1/2024,January,2024,Q1,Q1-2024,Sunup Logistics Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,24,4,LAST_WEEK,10000000.0
24/1/2024,January,2024,Q1,Q1-2024,Baccarat Energy Limited,OIL AND GAS,100000.0,0.0,100000.0,1,1,ARREARS_ONLY,24,4,LAST_WEEK,10000000.0
24/1/2024,January,2024,Q1,Q1-2024,Baccarat Food Ltd,AGRIC BUSINESS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,24,4,LAST_WEEK,10000000.0
24/1/2024,January,2024,Q1,Q1-2024,Jayden-Pride Technologies Limited,GENERAL CONTRACT,80000.0,80000.0,0.0,0,0,FULLY_CURRENT,24,4,LAST_WEEK,8000000.0
24/1/2024,January,2024,Q1,Q1-2024,Chavyn Nigeria Limited,OIL AND GAS,80000.0,80000.0,0.0,0,0,FULLY_CURRENT,24,4,LAST_WEEK,8000000.0
25/1/2024,January,2024,Q1,Q1-2024,Asbury International Ltd,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,25,4,LAST_WEEK,10000000.0
25/1/2024,January,2024,Q1,Q1-2024,Ejovi Security Ltd,"CONSULTANCY, EDUCATION AND TRAINING",80000.0,80000.0,0.0,0,0,FULLY_CURRENT,25,4,LAST_WEEK,8000000.0
25/1/2024,January,2024,Q1,Q1-2024,Blurex Nigeria Limited,MARITIME AND SHIPPING,386902.68,302793.71,84108.97,1,0,PARTIAL_ARREARS,25,4,LAST_WEEK,30279371.0
25/1/2024,January,2024,Q1,Q1-2024,GT Security Limited,"CONSULTANCY, EDUCATION AND TRAINING",80000.0,80000.0,0.0,0,0,FULLY_CURRENT,25,4,LAST_WEEK,8000000.0
25/1/2024,January,2024,Q1,Q1-2024,Hedgerow Oil & Gas Ltd,OIL AND GAS,80000.0,80000.0,0.0,0,0,FULLY_CURRENT,25,4,LAST_WEEK,8000000.0
25/1/2024,January,2024,Q1,Q1-2024,Oanda Integrated Logistics Limited,MARITIME AND SHIPPING,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,25,4,LAST_WEEK,10000000.0
25/1/2024,January,2024,Q1,Q1-2024,Tri-Flex Hydraulic and Services Nigeria Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,25,4,LAST_WEEK,10000000.0
25/1/2024,January,2024,Q1,Q1-2024,Karidav Integrated Services Limited,OIL AND GAS,110208.3,110208.3,0.0,0,0,FULLY_CURRENT,25,4,LAST_WEEK,11020830.0
25/1/2024,January,2024,Q1,Q1-2024,Pekdees Concept Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,25,4,LAST_WEEK,10000000.0
26/1/2024,January,2024,Q1,Q1-2024,Tonnac Dynamic Ideas Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,26,4,LAST_WEEK,10000000.0
26/1/2024,January,2024,Q1,Q1-2024,Jevi Austin Int'l Company Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,26,4,LAST_WEEK,10000000.0
26/1/2024,January,2024,Q1,Q1-2024,Nusco Geotechnical & Logistics Ltd,GENERAL CONTRACT,80000.0,80000.0,0.0,0,0,FULLY_CURRENT,26,4,LAST_WEEK,8000000.0
26/1/2024,January,2024,Q1,Q1-2024,Sardon Global Solutions Limited,INFORMATION TECHNOLOGY,80000.0,80000.0,0.0,0,0,FULLY_CURRENT,26,4,LAST_WEEK,8000000.0
26/1/2024,January,2024,Q1,Q1-2024,Alamasi Oil and Gas Services Limited,OIL AND GAS,80000.0,80000.0,0.0,0,0,FULLY_CURRENT,26,4,LAST_WEEK,8000000.0
26/1/2024,January,2024,Q1,Q1-2024,Eastline Energy Resources Limited,OIL AND GAS,342204.58,342204.58,0.0,0,0,FULLY_CURRENT,26,4,LAST_WEEK,34220458.0
26/1/2024,January,2024,Q1,Q1-2024,Alpha-Phi Measurements Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,26,4,LAST_WEEK,10000000.0
29/1/2024,January,2024,Q1,Q1-2024,Tuwal Limited,OIL AND GAS,3135018.07,3135018.07,0.0,0,0,FULLY_CURRENT,29,5,END_OF_MONTH,313501807.0
29/1/2024,January,2024,Q1,Q1-2024,Akobulife PC Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,29,5,END_OF_MONTH,10000000.0
29/1/2024,January,2024,Q1,Q1-2024,Genco Excel Services Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",150000.0,75000.0,75000.0,1,0,PARTIAL_ARREARS,29,5,END_OF_MONTH,7500000.0
29/1/2024,January,2024,Q1,Q1-2024,Groundscan Services Nigeria Limited,GENERAL CONTRACT,192853.23,192853.23,0.0,0,0,FULLY_CURRENT,29,5,END_OF_MONTH,19285323.0
29/1/2024,January,2024,Q1,Q1-2024,Express Concerns Int'l Limited,MARITIME AND SHIPPING,105800.0,105800.0,0.0,0,0,FULLY_CURRENT,29,5,END_OF_MONTH,10580000.0
30/1/2024,January,2024,Q1,Q1-2024,Grechen Services Limited,OIL AND GAS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,30,5,END_OF_MONTH,10000000.0
30/1/2024,January,2024,Q1,Q1-2024,Annoquick Nigeria Ltd,TRANSPORT AND TRAVELS,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,30,5,END_OF_MONTH,10000000.0
30/1/2024,January,2024,Q1,Q1-2024,Carelink Integrated Services Limited,HOSPITAL AND MATERNITY,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,30,5,END_OF_MONTH,10000000.0
31/1/2024,January,2024,Q1,Q1-2024,Lenk Energy Ltd,OIL AND GAS,300000.0,100000.0,200000.0,1,0,PARTIAL_ARREARS,31,5,END_OF_MONTH,10000000.0
31/1/2024,January,2024,Q1,Q1-2024,Ifeanyi Anumba and Co.,"CONSULTANCY, EDUCATION AND TRAINING",250000.0,62500.0,187500.0,1,0,PARTIAL_ARREARS,31,5,END_OF_MONTH,6250000.0
31/1/2024,January,2024,Q1,Q1-2024,Komc Services Limited,OIL AND GAS,80000.0,80000.0,0.0,0,0,FULLY_CURRENT,31,5,END_OF_MONTH,8000000.0
31/1/2024,January,2024,Q1,Q1-2024,Alpatech Engineering Nigeria Limited,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,31,5,END_OF_MONTH,10000000.0
31/1/2024,January,2024,Q1,Q1-2024,Tenaris Global Services Nigeria Limited,OIL AND GAS,21970126.42,21970126.42,0.0,0,0,FULLY_CURRENT,31,5,END_OF_MONTH,2197012642.0
31/1/2024,January,2024,Q1,Q1-2024,Atlantic Fluids and Integrated Services Limited,GENERAL CONTRACT,1989258.32,1989258.32,0.0,0,0,FULLY_CURRENT,31,5,END_OF_MONTH,198925832.0
31/1/2024,January,2024,Q1,Q1-2024,Pipe Coaters Nigeria Limited,OIL AND GAS,9260245.16,9260245.16,0.0,0,0,FULLY_CURRENT,31,5,END_OF_MONTH,926024516.0
31/1/2024,January,2024,Q1,Q1-2024,Weatherford Nigeria Limited,OIL AND GAS,14540105.82,14540105.82,0.0,0,0,FULLY_CURRENT,31,5,END_OF_MONTH,1454010582.0
31/1/2024,January,2024,Q1,Q1-2024,Imodan Logistic Services Nigeria Limited,MARITIME AND SHIPPING,117892.08,117892.08,0.0,0,0,FULLY_CURRENT,31,5,END_OF_MONTH,11789208.0
31/1/2024,January,2024,Q1,Q1-2024,Jumondx Nigeria Limited,GENERAL CONTRACT,100000.0,100000.0,0.0,0,0,FULLY_CURRENT,31,5,END_OF_MONTH,10000000.0
31/1/2024,January,2024,Q1,Q1-2024,Jevinik Enterprise,HOTEL AND CATERING,81312.0,81312.0,0.0,0,0,FULLY_CURRENT,31,5,END_OF_MONTH,8131200.0
31/1/2024,January,2024,Q1,Q1-2024,Specialty Drilling Fluids Limited,OIL AND GAS,2500000.0,0.0,2500000.0,1,1,ARREARS_ONLY,31,5,END_OF_MONTH,250000000.0
31/1/2024,January,2024,Q1,Q1-2024,Mccxen Limited,OIL AND GAS,15947380.0,15947380.0,0.0,0,0,FULLY_CURRENT,31,5,END_OF_MONTH,1594738000.0
31/1/2024,January,2024,Q1,Q1-2024,Ofoma Associates,"CONSULTANCY, EDUCATION AND TRAINING",100000.0,100000.0,0.0,0,0,FULLY_CURRENT,31,5,END_OF_MONTH,10000000.0
31/1/2024,January,2024,Q1,Q1-2024,Chikano Engineering and Technical Services Ltd,"BUILDING, CONSTRUCTION AND ENGINEERING",100000.0,0.0,100000.0,1,1,ARREARS_ONLY,31,5,END_OF_MONTH,10000000.0
